,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,sot%,g/sh,g/sot,dist,pk,pkatt,g-xg,np:g-xg,sca,gca,att 3rd,att pen,att,succ,succ%,prgc,1/3,cpa,year,team
14,2024-06-24,21:00,UEFA Euro,Group stage,Mon,Neutral,D,1,1,hr Croatia,0.9,1.0,54.0,38322.0,Gianluigi Donnarumma,3-1-4-2,Danny Makkelie,Match Report,,12.0,3.0,25.0,0.08,0.33,15.2,0,0,0.1,0.1,23.0,2.0,173.0,25.0,10.0,5.0,50.0,12.0,12.0,3.0,2024,Italy
15,2024-06-29,18:00,UEFA Euro,Round of 16,Sat,Neutral,L,0,2,ch Switzerland,0.7,1.2,50.0,68172.0,Gianluigi Donnarumma,4-3-3,Szymon Marciniak,Match Report,,11.0,1.0,9.1,0.0,0.0,20.5,0,0,-0.7,-0.7,17.0,0.0,182.0,12.0,15.0,7.0,46.7,21.0,32.0,2.0,2024,Italy
0,2023-03-27,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,L,0,1,pl Poland,,,45.0,56227.0,Elseid Hysaj,4-1-4-1,Slavko Vinčič,Match Report,,7.0,3.0,42.9,0.0,0.0,,0,0,,,,,,,,,,,,,2024,Albania
1,2023-06-17,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,2,0,md Moldova,,,72.0,20944.0,Elseid Hysaj,4-1-4-1,Dennis Higler,Match Report,,12.0,5.0,41.7,0.17,0.4,,0,0,,,,,,,,,,,,,2024,Albania
2,2023-06-20,19:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,3,1,fo Faroe Islands,,,49.0,2507.0,Elseid Hysaj,4-2-3-1,Chrysovalantis Theouli,Match Report,,19.0,6.0,31.6,0.16,0.5,,0,1,,,,,,,,,,,,,2024,Albania
3,2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,D,1,1,cz Czechia,,,43.0,18641.0,Berat Djimsiti,4-2-3-1,Anthony Taylor,Match Report,,1.0,1.0,100.0,1.0,1.0,,0,0,,,,,,,,,,,,,2024,Albania
4,2023-09-10,20:45,UEFA Euro Qualifying,Group stage,Sun,Home,W,2,0,pl Poland,,,39.0,21900.0,Berat Djimsiti,4-1-3-2,José Sánchez,Match Report,,7.0,3.0,42.9,0.29,0.67,,0,0,,,,,,,,,,,,,2024,Albania
5,2023-10-12,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,3,0,cz Czechia,,,36.0,20917.0,Berat Djimsiti,4-2-3-1,Danny Makkelie,Match Report,,8.0,4.0,50.0,0.38,0.75,,0,0,,,,,,,,,,,,,2024,Albania
6,2023-11-17,19:00,UEFA Euro Qualifying,Group stage,Fri,Away,D,1,1,md Moldova,,,53.0,9537.0,Berat Djimsiti,4-3-3,William Collum,Match Report,,10.0,4.0,40.0,0.0,0.0,,1,1,,,,,,,,,,,,,2024,Albania
7,2023-11-20,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,D,0,0,fo Faroe Islands,,,64.0,21456.0,Berat Djimsiti,4-3-3,Sven Jablonski,Match Report,,8.0,4.0,50.0,0.0,0.0,,0,0,,,,,,,,,,,,,2024,Albania
8,2024-03-22,20:45,Friendlies (M),Friendlies (M),Fri,Neutral,L,0,3,cl Chile,,,,,Berat Djimsiti,4-2-3-1,Luca Pairetto,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Albania
9,2024-03-25,19:00,Friendlies (M),Friendlies (M),Mon,Away,L,0,1,se Sweden,,,,17892.0,Berat Djimsiti,4-2-3-1,Marcel Bîrsan,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Albania
10,2024-06-03,20:00,Friendlies (M),Friendlies (M),Mon,Neutral,W,3,0,li Liechtenstein,,,,200.0,Etrit Berisha,4-1-4-1,Bence Csonka,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Albania
11,2024-06-07,19:00,Friendlies (M),Friendlies (M),Fri,Neutral,W,3,1,az Azerbaijan,,,,,Berat Djimsiti,4-2-3-1,Mihály Káprály,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Albania
12,2024-06-15,21:00,UEFA Euro,Group stage,Sat,Neutral,L,1,2,it Italy,0.5,1.5,32.0,60512.0,Berat Djimsiti,4-2-3-1,Felix Zwayer,Match Report,,8.0,1.0,12.5,0.13,1.0,19.8,0,0,0.5,0.5,14.0,0.0,42.0,6.0,7.0,2.0,28.6,5.0,4.0,0.0,2024,Albania
13,2024-06-19,15:00,UEFA Euro,Group stage,Wed,Neutral,D,2,2,hr Croatia,1.5,2.6,33.0,46784.0,Berat Djimsiti,4-3-3,François Letexier,Match Report,,15.0,7.0,46.7,0.13,0.29,18.4,0,0,0.5,0.5,25.0,4.0,85.0,18.0,12.0,3.0,25.0,14.0,11.0,3.0,2024,Albania
14,2024-06-24,21:00,UEFA Euro,Group stage,Mon,Neutral,L,0,1,es Spain,0.5,1.5,42.0,46586.0,Berat Djimsiti,4-3-3,Glenn Nyberg,Match Report,,10.0,4.0,40.0,0.0,0.0,20.8,0,0,-0.5,-0.5,17.0,0.0,104.0,10.0,22.0,12.0,54.5,14.0,7.0,3.0,2024,Albania
0,2023-03-24,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,L,1,3,cz Czechia,,,64.0,19045.0,Robert Lewandowski,4-2-3-1,Anastasios Sidiropoulos,Match Report,,11.0,4.0,36.4,0.09,0.25,,0,0,,,,,,,,,,,,,2024,Poland
1,2023-03-27,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,1,0,al Albania,,,55.0,56227.0,Robert Lewandowski,4-4-2,Slavko Vinčič,Match Report,,11.0,5.0,45.5,0.09,0.2,,0,0,,,,,,,,,,,,,2024,Poland
2,2023-06-20,21:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,2,3,md Moldova,,,73.0,9442.0,Robert Lewandowski,5-3-2,Filip Glova,Match Report,,20.0,5.0,25.0,0.1,0.4,,0,0,,,,,,,,,,,,,2024,Poland
3,2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,2,0,fo Faroe Islands,,,72.0,54129.0,Robert Lewandowski,4-4-2,David Smajc,Match Report,,19.0,7.0,36.8,0.05,0.14,,1,1,,,,,,,,,,,,,2024,Poland
4,2023-09-10,20:45,UEFA Euro Qualifying,Group stage,Sun,Away,L,0,2,al Albania,,,61.0,21900.0,Robert Lewandowski,4-4-1-1,José Sánchez,Match Report,,12.0,2.0,16.7,0.0,0.0,,0,0,,,,,,,,,,,,,2024,Poland
5,2023-10-12,19:45,UEFA Euro Qualifying,Group stage,Thu,Away,W,2,0,fo Faroe Islands,,,66.0,3220.0,Piotr Zieliński,3-4-3,Allard Lindhout,Match Report,,13.0,4.0,30.8,0.15,0.5,,0,0,,,,,,,,,,,,,2024,Poland
6,2023-10-15,20:45,UEFA Euro Qualifying,Group stage,Sun,Home,D,1,1,md Moldova,,,72.0,51672.0,Piotr Zieliński,3-5-2,Artur Soares Dias,Match Report,,21.0,7.0,33.3,0.05,0.14,,0,0,,,,,,,,,,,,,2024,Poland
7,2023-11-17,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,D,1,1,cz Czechia,,,61.0,56310.0,Robert Lewandowski,3-5-2,Daniele Orsato,Match Report,,18.0,5.0,27.8,0.06,0.2,,0,0,,,,,,,,,,,,,2024,Poland
8,2024-03-21,20:45,UEFA Euro Qualifying,Semi-finals,Thu,Home,W,5,1,ee Estonia,,,85.0,,Robert Lewandowski,3-5-2,Slavko Vinčič,Match Report,,25.0,10.0,40.0,0.16,0.4,,0,0,,,,,,,,,,,,,2024,Poland
9,2024-03-26,19:45,UEFA Euro Qualifying,Finals,Tue,Away,D,0 (5),0 (4),wls Wales,,,58.0,,Robert Lewandowski,3-5-2,Daniele Orsato,Match Report,Poland won on penalty kicks following extra time,11.0,0.0,0.0,0.0,,,0,0,,,,,,,,,,,,,2024,Poland
10,2024-06-07,20:45,Friendlies (M),Friendlies (M),Fri,Home,W,3,1,ua Ukraine,,,,47013.0,Piotr Zieliński,3-4-3,Andy Madley,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Poland
11,2024-06-10,20:45,Friendlies (M),Friendlies (M),Mon,Home,W,2,1,tr Türkiye,,,,48677.0,Robert Lewandowski,3-5-2,Balázs Berke,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Poland
12,2024-06-16,15:00,UEFA Euro,Group stage,Sun,Neutral,L,1,2,nl Netherlands,1.3,1.4,34.0,48117.0,Piotr Zieliński,3-5-2,Artur Soares Dias,Match Report,,12.0,7.0,58.3,0.08,0.14,19.0,0,0,-0.3,-0.3,19.0,2.0,103.0,15.0,20.0,7.0,35.0,17.0,12.0,4.0,2024,Poland
13,2024-06-21,18:00,UEFA Euro,Group stage,Fri,Neutral,L,1,3,at Austria,1.6,2.1,48.0,69455.0,Piotr Zieliński,3-5-2,Halil Umut Meler,Match Report,,15.0,3.0,20.0,0.07,0.33,18.4,0,0,-0.6,-0.6,29.0,1.0,111.0,12.0,16.0,9.0,56.3,16.0,14.0,1.0,2024,Poland
14,2024-06-25,18:00,UEFA Euro,Group stage,Tue,Neutral,D,1,1,fr France,1.2,2.3,42.0,59728.0,Robert Lewandowski,5-3-2,Marco Guida,Match Report,,9.0,2.0,22.2,0.0,0.0,24.0,1,1,-0.2,-0.4,18.0,2.0,78.0,7.0,14.0,7.0,50.0,16.0,12.0,1.0,2024,Poland
0,2023-03-24,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,L,0,4,fr France,,,59.0,77328.0,Virgil van Dijk,4-3-3,Maurizio Mariani,Match Report,,11.0,5.0,45.5,0.0,0.0,,0,1,,,,,,,,,,,,,2024,Netherlands
1,2023-03-27,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,3,0,gi Gibraltar,,,87.0,36327.0,Virgil van Dijk,4-3-3,Morten Krogh,Match Report,,51.0,12.0,23.5,0.06,0.25,,0,0,,,,,,,,,,,,,2024,Netherlands
2,2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,3,0,gr Greece,,,53.0,32079.0,Virgil van Dijk,3-4-3,Michael Oliver,Match Report,,14.0,6.0,42.9,0.21,0.5,,0,0,,,,,,,,,,,,,2024,Netherlands
3,2023-09-10,19:45,UEFA Euro Qualifying,Group stage,Sun,Away,W,2,1,ie Rep. of Ireland,,,48.0,49807.0,Virgil van Dijk,3-4-3,Irfan Peljto,Match Report,,9.0,5.0,55.6,0.11,0.2,,1,1,,,,,,,,,,,,,2024,Netherlands
4,2023-10-13,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,L,1,2,fr France,,,46.0,51310.0,Virgil van Dijk,4-2-3-1,Felix Zwayer,Match Report,,8.0,4.0,50.0,0.13,0.25,,0,0,,,,,,,,,,,,,2024,Netherlands
5,2023-10-16,21:45,UEFA Euro Qualifying,Group stage,Mon,Away,W,1,0,gr Greece,,,60.0,24967.0,Virgil van Dijk,4-2-3-1,Alejandro Hernández,Match Report,,11.0,6.0,54.5,0.0,0.0,,1,2,,,,,,,,,,,,,2024,Netherlands
6,2023-11-18,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,1,0,ie Rep. of Ireland,,,55.0,51811.0,Virgil van Dijk,3-4-3,Marco Di Bello,Match Report,,19.0,5.0,26.3,0.05,0.2,,0,0,,,,,,,,,,,,,2024,Netherlands
7,2023-11-21,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,6,0,gi Gibraltar,,,79.0,2280.0,Virgil van Dijk,4-3-3,Arda Kardeşler,Match Report,,23.0,9.0,39.1,0.26,0.67,,0,0,,,,,,,,,,,,,2024,Netherlands
8,2024-03-22,20:45,Friendlies (M),Friendlies (M),Fri,Home,W,4,0,sct Scotland,,,,46223.0,Virgil van Dijk,4-1-4-1,Erik Lambrechts,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Netherlands
9,2024-03-26,20:45,Friendlies (M),Friendlies (M),Tue,Away,L,1,2,de Germany,,,,48390.0,Virgil van Dijk,3-4-1-2,Espen Eskås,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Netherlands
10,2024-06-06,20:45,Friendlies (M),Friendlies (M),Thu,Home,W,4,0,ca Canada,,,,36060.0,Daley Blind,4-1-4-1,Rohit Saggi,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Netherlands
11,2024-06-10,20:45,Friendlies (M),Friendlies (M),Mon,Home,W,4,0,is Iceland,,,,42000.0,Virgil van Dijk,4-2-3-1,Evangelos Manouchos,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Netherlands
12,2024-06-16,15:00,UEFA Euro,Group stage,Sun,Neutral,W,2,1,pl Poland,1.4,1.3,66.0,48117.0,Virgil van Dijk,4-2-3-1,Artur Soares Dias,Match Report,,21.0,4.0,19.0,0.1,0.5,16.9,0,0,0.6,0.6,40.0,3.0,235.0,42.0,25.0,14.0,56.0,27.0,13.0,9.0,2024,Netherlands
13,2024-06-21,21:00,UEFA Euro,Group stage,Fri,Neutral,D,0,0,fr France,0.5,1.4,38.0,38531.0,Virgil van Dijk,4-2-3-1,Anthony Taylor,Match Report,,8.0,4.0,50.0,0.0,0.0,20.4,0,0,-0.5,-0.5,12.0,0.0,75.0,10.0,3.0,0.0,0.0,15.0,5.0,3.0,2024,Netherlands
14,2024-06-25,18:00,UEFA Euro,Group stage,Tue,Neutral,L,2,3,at Austria,1.7,0.9,53.0,68363.0,Virgil van Dijk,4-3-3,Ivan Kružliak,Match Report,,11.0,2.0,18.2,0.18,1.0,15.9,0,0,0.3,0.3,20.0,4.0,119.0,21.0,27.0,9.0,33.3,13.0,7.0,3.0,2024,Netherlands
15,2024-07-02,18:00,UEFA Euro,Round of 16,Tue,Neutral,W,3,0,ro Romania,2.8,0.3,65.0,65012.0,Virgil van Dijk,4-2-3-1,Felix Zwayer,Match Report,,23.0,6.0,26.1,0.13,0.5,14.3,0,0,0.2,0.2,43.0,6.0,189.0,46.0,18.0,11.0,61.1,29.0,20.0,13.0,2024,Netherlands
16,2024-07-06,21:00,UEFA Euro,Quarter-finals,Sat,Neutral,W,2,1,tr Türkiye,1.0,1.3,59.0,70091.0,Virgil van Dijk,4-2-3-1,Clément Turpin,Match Report,,11.0,4.0,36.4,0.09,0.25,18.9,0,0,0.0,0.0,21.0,2.0,196.0,20.0,22.0,8.0,36.4,21.0,23.0,5.0,2024,Netherlands
17,2024-07-10,21:00,UEFA Euro,Semi-finals,Wed,Neutral,L,1,2,eng England,0.5,1.2,41.0,60926.0,Virgil van Dijk,4-2-3-1,Felix Zwayer,Match Report,,7.0,2.0,28.6,0.14,0.5,13.5,0,0,0.5,0.5,12.0,1.0,94.0,11.0,7.0,2.0,28.6,10.0,8.0,1.0,2024,Netherlands
0,2023-03-23,21:00,UEFA Euro Qualifying,Group stage,Thu,Away,W,2,1,kz Kazakhstan,,,60.0,27122.0,Jan Oblak,4-4-2,Glenn Nyberg,Match Report,,15.0,6.0,40.0,0.13,0.33,,0,0,,,,,,,,,,,,,2024,Slovenia
1,2023-03-26,18:00,UEFA Euro Qualifying,Group stage,Sun,Home,W,2,0,sm San Marino,,,76.0,10282.0,Jan Oblak,4-4-2,Nathan Verboomen,Match Report,,25.0,5.0,20.0,0.04,0.2,,0,0,,,,,,,,,,,,,2024,Slovenia
2,2023-06-16,19:00,UEFA Euro Qualifying,Group stage,Fri,Away,L,0,2,fi Finland,,,58.0,32560.0,Jaka Bijol,4-2-2-2,Guillermo Cuadra,Match Report,,14.0,2.0,14.3,0.0,0.0,,0,0,,,,,,,,,,,,,2024,Slovenia
3,2023-06-19,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,D,1,1,dk Denmark,,,37.0,14382.0,Jaka Bijol,4-4-2,François Letexier,Match Report,,6.0,2.0,33.3,0.17,0.5,,0,0,,,,,,,,,,,,,2024,Slovenia
4,2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,4,2,nir Northern Ireland,,,48.0,12587.0,Jan Oblak,4-4-2,Marco Guida,Match Report,,8.0,4.0,50.0,0.38,0.75,,0,0,,,,,,,,,,,,,2024,Slovenia
5,2023-09-10,20:45,UEFA Euro Qualifying,Group stage,Sun,Away,W,4,0,sm San Marino,,,81.0,844.0,Jan Oblak,4-4-2,Mykola Balakin,Match Report,,19.0,8.0,42.1,0.21,0.5,,0,0,,,,,,,,,,,,,2024,Slovenia
6,2023-10-14,18:00,UEFA Euro Qualifying,Group stage,Sat,Home,W,3,0,fi Finland,,,43.0,15823.0,Jan Oblak,4-4-2,Daniele Orsato,Match Report,,12.0,5.0,41.7,0.17,0.4,,1,1,,,,,,,,,,,,,2024,Slovenia
7,2023-10-17,19:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,1,0,nir Northern Ireland,,,58.0,16332.0,Jan Oblak,4-4-2,István Kovács,Match Report,,8.0,4.0,50.0,0.13,0.25,,0,0,,,,,,,,,,,,,2024,Slovenia
8,2023-11-17,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,L,1,2,dk Denmark,,,34.0,35608.0,Jan Oblak,4-4-2,Sánchez Santos,Match Report,,2.0,1.0,50.0,0.5,1.0,,0,0,,,,,,,,,,,,,2024,Slovenia
9,2023-11-20,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,2,1,kz Kazakhstan,,,59.0,16432.0,Jan Oblak,4-4-2,Szymon Marciniak,Match Report,,13.0,6.0,46.2,0.08,0.17,,1,1,,,,,,,,,,,,,2024,Slovenia
10,2024-03-21,19:00,Friendlies (M),Friendlies (M),Thu,Away,D,2,2,mt Malta,,,,1652.0,Jan Oblak,4-2-2-2,Sandi Putros,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Slovenia
11,2024-03-26,20:45,Friendlies (M),Friendlies (M),Tue,Home,W,2,0,pt Portugal,,,,16432.0,Jan Oblak,4-2-2-2,Irfan Peljto,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Slovenia
12,2024-06-04,18:00,Friendlies (M),Friendlies (M),Tue,Home,W,2,1,am Armenia,,,,8389.0,Jaka Bijol,4-2-2-2,Andreas Argyrou,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Slovenia
13,2024-06-08,15:00,Friendlies (M),Friendlies (M),Sat,Home,D,1,1,bg Bulgaria,,,,11037.0,Jan Oblak,4-2-2-2,Arda Kardeşler,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Slovenia
14,2024-06-16,18:00,UEFA Euro,Group stage,Sun,Neutral,D,1,1,dk Denmark,1.1,1.7,33.0,54000.0,Jan Oblak,4-4-2,Sandro Schärer,Match Report,,11.0,2.0,18.2,0.09,0.5,19.6,0,0,-0.1,-0.1,19.0,1.0,78.0,12.0,10.0,3.0,30.0,11.0,13.0,0.0,2024,Slovenia
15,2024-06-20,15:00,UEFA Euro,Group stage,Thu,Neutral,D,1,1,rs Serbia,1.4,1.6,40.0,63028.0,Jan Oblak,4-4-2,István Kovács,Match Report,,11.0,4.0,36.4,0.09,0.25,19.7,0,0,-0.4,-0.4,19.0,2.0,120.0,16.0,20.0,7.0,35.0,17.0,12.0,4.0,2024,Slovenia
16,2024-06-25,21:00,UEFA Euro,Group stage,Tue,Neutral,D,0,0,eng England,0.2,0.8,27.0,41536.0,Jan Oblak,4-4-2,Clément Turpin,Match Report,,4.0,1.0,25.0,0.0,0.0,24.1,0,0,-0.2,-0.2,6.0,0.0,67.0,6.0,6.0,4.0,66.7,11.0,5.0,2.0,2024,Slovenia
17,2024-07-01,21:00,UEFA Euro,Round of 16,Mon,Neutral,D,0 (0),0 (3),pt Portugal,0.6,2.0,29.0,46576.0,Jan Oblak,4-4-2,Daniele Orsato,Match Report,Portugal won on penalty kicks following extra time,10.0,2.0,20.0,0.0,0.0,21.6,0,0,-0.6,-0.6,13.0,0.0,73.0,10.0,17.0,7.0,41.2,8.0,6.0,4.0,2024,Slovenia
0,2023-03-23,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,3,1,fi Finland,,,58.0,35851.0,Simon Kjær,4-3-1-2,Daniel Siebert,Match Report,,18.0,10.0,55.6,0.17,0.3,,0,0,,,,,,,,,,,,,2024,Denmark
1,2023-03-26,19:00,UEFA Euro Qualifying,Group stage,Sun,Away,L,2,3,kz Kazakhstan,,,61.0,28697.0,Simon Kjær,4-3-3,Novak Simović,Match Report,,14.0,7.0,50.0,0.14,0.29,,0,0,,,,,,,,,,,,,2024,Denmark
2,2023-06-16,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,1,0,nir Northern Ireland,,,68.0,35701.0,Simon Kjær,4-2-3-1,Daniel Stefański,Match Report,,13.0,5.0,38.5,0.08,0.2,,0,0,,,,,,,,,,,,,2024,Denmark
3,2023-06-19,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,D,1,1,si Slovenia,,,63.0,14382.0,Simon Kjær,3-4-3,François Letexier,Match Report,,10.0,2.0,20.0,0.1,0.5,,0,0,,,,,,,,,,,,,2024,Denmark
4,2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,4,0,sm San Marino,,,85.0,36262.0,Simon Kjær,4-3-3,Vitālijs Spasjoņņikovs,Match Report,,32.0,6.0,18.8,0.13,0.67,,0,0,,,,,,,,,,,,,2024,Denmark
5,2023-09-10,19:00,UEFA Euro Qualifying,Group stage,Sun,Away,W,1,0,fi Finland,,,64.0,32571.0,Kasper Schmeichel,4-2-3-1,Szymon Marciniak,Match Report,,16.0,6.0,37.5,0.06,0.17,,0,0,,,,,,,,,,,,,2024,Denmark
6,2023-10-14,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,3,1,kz Kazakhstan,,,64.0,35845.0,Simon Kjær,3-4-1-2,Michael Oliver,Match Report,,18.0,4.0,22.2,0.17,0.75,,0,0,,,,,,,,,,,,,2024,Denmark
7,2023-10-17,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,2,1,sm San Marino,,,82.0,2984.0,Simon Kjær,4-3-3,Viktor Kopievskii,Match Report,,10.0,3.0,30.0,0.2,0.67,,0,0,,,,,,,,,,,,,2024,Denmark
8,2023-11-17,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,2,1,si Slovenia,,,66.0,35608.0,Kasper Schmeichel,5-3-2,Sánchez Santos,Match Report,,12.0,8.0,66.7,0.17,0.25,,0,0,,,,,,,,,,,,,2024,Denmark
9,2023-11-20,19:45,UEFA Euro Qualifying,Group stage,Mon,Away,L,0,2,nir Northern Ireland,,,80.0,17366.0,Kasper Schmeichel,4-3-3,Jérôme Brisard,Match Report,,14.0,3.0,21.4,0.0,0.0,,0,0,,,,,,,,,,,,,2024,Denmark
10,2024-03-23,20:00,Friendlies (M),Friendlies (M),Sat,Home,D,0,0,ch Switzerland,,,,30731.0,Simon Kjær,3-4-1-2,Allard Lindhout,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Denmark
11,2024-03-26,20:15,Friendlies (M),Friendlies (M),Tue,Home,W,2,0,fo Faroe Islands,,,,17332.0,Pierre Højbjerg,4-1-4-1,Philip Farrugia,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Denmark
12,2024-06-05,19:00,Friendlies (M),Friendlies (M),Wed,Home,W,2,1,se Sweden,,,,35522.0,Pierre Højbjerg,3-4-1-2,Kristoffer Hagenes,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Denmark
13,2024-06-08,19:30,Friendlies (M),Friendlies (M),Sat,Home,W,3,1,no Norway,,,,23390.0,Kasper Schmeichel,3-4-3,Stéphanie Frappart,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Denmark
14,2024-06-16,18:00,UEFA Euro,Group stage,Sun,Neutral,D,1,1,si Slovenia,1.7,1.1,67.0,54000.0,Kasper Schmeichel,3-4-1-2,Sandro Schärer,Match Report,,16.0,4.0,25.0,0.06,0.25,14.2,0,0,-0.7,-0.7,25.0,2.0,199.0,33.0,13.0,1.0,7.7,6.0,13.0,1.0,2024,Denmark
15,2024-06-20,18:00,UEFA Euro,Group stage,Thu,Neutral,D,1,1,eng England,0.8,0.9,51.0,46177.0,Kasper Schmeichel,3-4-1-2,Artur Soares Dias,Match Report,,16.0,7.0,43.8,0.06,0.14,21.5,0,0,0.2,0.2,28.0,1.0,168.0,20.0,8.0,4.0,50.0,18.0,7.0,6.0,2024,Denmark
16,2024-06-25,21:00,UEFA Euro,Group stage,Tue,Neutral,D,0,0,rs Serbia,0.7,0.3,53.0,64288.0,Kasper Schmeichel,3-4-1-2,François Letexier,Match Report,,10.0,3.0,30.0,0.0,0.0,20.7,0,0,-0.7,-0.7,16.0,0.0,156.0,17.0,10.0,3.0,30.0,17.0,8.0,3.0,2024,Denmark
17,2024-06-29,21:00,UEFA Euro,Round of 16,Sat,Neutral,L,0,2,de Germany,1.2,2.6,45.0,61612.0,Kasper Schmeichel,3-4-3,Michael Oliver,Match Report,,11.0,2.0,18.2,0.0,0.0,14.6,0,0,-1.2,-1.2,20.0,0.0,121.0,22.0,6.0,4.0,66.7,17.0,9.0,5.0,2024,Denmark
0,2023-03-24,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,2,0,lt Lithuania,,,60.0,21125.0,Dušan Tadić,3-4-3,Lawrence Visser,Match Report,,15.0,4.0,26.7,0.13,0.5,,0,0,,,,,,,,,,,,,2024,Serbia
1,2023-03-27,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,W,2,0,me Montenegro,,,65.0,9831.0,Dušan Tadić,3-4-3,Clément Turpin,Match Report,,10.0,2.0,20.0,0.2,1.0,,0,0,,,,,,,,,,,,,2024,Serbia
2,2023-06-20,21:45,UEFA Euro Qualifying,Group stage,Tue,Away,D,1,1,bg Bulgaria,,,68.0,6700.0,Dušan Tadić,3-4-3,Craig Pawson,Match Report,,10.0,2.0,20.0,0.1,0.5,,0,0,,,,,,,,,,,,,2024,Serbia
3,2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,L,1,2,hu Hungary,,,55.0,6924.0,Dušan Tadić,3-4-1-2,Juan Martínez,Match Report,,15.0,3.0,20.0,0.0,0.0,,0,0,,,,,,,,,,,,,2024,Serbia
4,2023-09-10,21:45,UEFA Euro Qualifying,Group stage,Sun,Away,W,3,1,lt Lithuania,,,65.0,8586.0,Dušan Tadić,3-4-3,Sascha Stegemann,Match Report,,13.0,5.0,38.5,0.23,0.6,,0,0,,,,,,,,,,,,,2024,Serbia
5,2023-10-14,20:45,UEFA Euro Qualifying,Group stage,Sat,Away,L,1,2,hu Hungary,,,64.0,58215.0,Aleksandar Mitrović,3-4-3,François Letexier,Match Report,,16.0,6.0,37.5,0.06,0.17,,0,0,,,,,,,,,,,,,2024,Serbia
6,2023-10-17,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,3,1,me Montenegro,,,64.0,25884.0,Dušan Tadić,3-4-3,Szymon Marciniak,Match Report,,19.0,7.0,36.8,0.16,0.43,,0,0,,,,,,,,,,,,,2024,Serbia
7,2023-11-19,15:00,UEFA Euro Qualifying,Group stage,Sun,Home,D,2,2,bg Bulgaria,,,58.0,7325.0,Dušan Tadić,3-4-3,Erik Lambrechts,Match Report,,18.0,8.0,44.4,0.11,0.25,,0,0,,,,,,,,,,,,,2024,Serbia
8,2024-03-25,19:00,Friendlies (M),Friendlies (M),Mon,Away,W,1,0,cy Cyprus,,,,2100.0,Aleksandar Mitrović,3-4-3,Marco Di Bello,Match Report,,,,,,,,0,1,,,,,,,,,,,,,2024,Serbia
